Move_Component_New_Node,Move_Operation_Component,Move_Operation_New_Component_New_Node,UMLCloneNode,perfQ,#changes,reliability
0,0,1,3,-0.056754748811366974,4.26,-0.5272448505627285
0,0,1,3,-0.03066968926281845,5.49,-0.7886953206077715
0,0,1,3,-0.03066968926281845,5.49,-0.7886953206077715
0,0,2,2,-0.053871219413415834,4.26,-0.7886953206077715
0,0,2,2,-0.053871219413415834,4.26,-0.7886953206077715
0,0,2,2,-0.053871219413415834,6.06,-0.7098348600450429
0,0,2,2,-0.053871219413415834,6.06,-0.7098348600450429
0,0,2,2,-0.0209827255841141,6.0600000000000005,-0.8471106006077714
0,0,2,2,-0.0209827255841141,6.0600000000000005,-0.8471106006077714
0,0,2,2,-0.0209827255841141,6.0600000000000005,-0.8471106006077714
0,0,2,2,-0.056891966255379074,7.29,-0.8471106006077714
0,0,2,2,-0.056891966255379074,7.29,-0.8471106006077714
0,0,2,2,-0.056891966255379074,7.29,-0.8471106006077714
0,0,2,2,-0.057022594526974564,6.06,-0.7856969869064596
0,0,2,2,-0.057022594526974564,6.06,-0.7856969869064596
0,0,2,2,-0.057022594526974564,6.06,-0.7856969869064596
0,0,2,2,-0.057022594526974564,6.06,-0.7856969869064596
0,0,2,2,-0.057022594526974564,6.06,-0.7856969869064596
0,0,2,2,-0.057022594526974564,6.06,-0.7856969869064596
0,0,2,2,-0.057022594526974564,6.06,-0.7856969869064596
0,0,3,1,-0.11615524906548105,5.4,-0.6550170868614167
0,0,3,1,-0.11615524906548105,5.4,-0.6550170868614167
0,0,3,1,-0.08045347982784147,6.630000000000001,-0.6534547015459473
0,0,3,1,-0.08045347982784147,6.630000000000001,-0.6534547015459473
