Move_Component_New_Node,Move_Operation_Component,Move_Operation_New_Component_New_Node,UMLCloneNode,perfQ,#changes,reliability
0,1,0,3,-0.002199111100969963,1.23,-0.9934727917644232
0,1,0,3,-0.2765246187217658,6.15,-0.9938514667644232
0,1,0,3,-0.2765246187217658,6.15,-0.9938514667644232
0,1,0,3,-0.2765246187217658,6.15,-0.9938514667644232
0,1,0,3,-0.2765246187217658,6.15,-0.9938514667644232
0,1,0,3,-0.2765246187217658,6.15,-0.9938514667644232
0,1,0,3,-0.2576366035790157,6.15,-0.9967789408824288
0,1,0,3,-0.2765246187217658,6.15,-0.9938514667644232
0,1,0,3,0.015833947491964373,2.46,-0.9911391306745408
0,1,0,3,0.015833947491964373,2.46,-0.9911391306745408
0,1,0,3,-0.13188052219493146,2.46,-0.9949583391994581
0,1,0,3,-0.16901749615434822,2.46,-0.9937137685407011
0,1,0,3,0.015833947491964373,2.46,-0.9911391306745408
0,1,0,3,-0.16901749615434822,2.46,-0.9937137685407011
0,1,0,3,-0.2369783250545778,6.15,-0.9910617591804158
0,1,0,3,-0.2369783250545778,6.15,-0.9910617591804158
0,1,0,3,-0.2369783250545778,6.15,-0.9910617591804158
0,1,1,2,-0.08078311005872588,3.69,-0.9890403675644968
0,1,1,2,-0.08078311005872588,3.69,-0.9890403675644968
0,1,1,2,-0.08078311005872588,3.69,-0.9890403675644968
0,1,1,2,-0.08078311005872588,3.69,-0.9890403675644968
0,1,1,2,-0.08078311005872588,3.69,-0.9890403675644968
0,1,1,2,-0.04274457606525739,2.46,-0.9972948300845078
0,1,1,2,-0.12228052502941154,4.92,-0.9972948300845078
0,1,1,2,-0.12228052502941154,4.92,-0.9972948300845078
0,1,1,2,-0.17510100762776226,6.15,-0.9972948300845078
0,1,1,2,-0.17510100762776226,6.15,-0.9972948300845078
0,1,1,2,-0.04274457606525739,2.46,-0.9972948300845078
0,1,1,2,-0.12228052502941154,4.92,-0.9972948300845078
0,1,1,2,-0.04274457606525739,2.46,-0.9972948300845078
0,1,1,2,-0.17510100762776226,6.15,-0.9972948300845078
0,1,1,2,-0.17510100762776226,6.15,-0.9972948300845078
0,1,1,2,-0.04274457606525739,2.46,-0.9972948300845078
0,1,1,2,-0.17510100762776226,6.15,-0.9972948300845078
0,1,1,2,-0.38713663159232303,6.15,-0.9890403654662686
0,1,1,2,-0.38713663159232303,6.15,-0.9890403654662686
0,1,1,2,-0.2932090611884713,4.92,-0.9890403654662686
0,1,1,2,-0.38713663159232303,6.15,-0.9890403654662686
0,1,1,2,-0.38713663159232303,6.15,-0.9890403654662686
0,1,1,2,-0.38713663159232303,6.15,-0.9890403654662686
0,1,1,2,-0.38713663159232303,6.15,-0.9890403654662686
0,1,1,2,-0.2210237666424928,4.92,-0.9833169162745408
0,1,1,2,-0.2210237666424928,4.92,-0.9833169162745408
0,1,1,2,-0.16055667184749936,9.84,-0.9978666096745408
0,1,1,2,-0.16055667184749936,9.84,-0.9978666096745408
0,1,1,2,-0.144111816943896,3.69,-0.9956114250728229
0,1,1,2,-0.144111816943896,3.69,-0.9956114250728229
0,1,1,2,-0.144111816943896,3.69,-0.9956114250728229
